"","subj","cloze","item","n400","cloze_ans","N"
"1",1,0,1,7.08,0,44
"2",1,0.03,2,-0.68,1,44
"3",1,1,3,1.39,44,44
"4",1,0.93,4,22.78,41,44
"5",1,0,5,1.61,0,44
"6",1,0,6,3.01,0,44
"7",1,0.8,7,9.96,35,44
"8",1,0.03,9,-1.85,1,44
"9",1,0.03,10,8.73,1,44
"10",1,0.87,11,10.89,38,44
"11",1,1,12,-7.39,44,44
"12",1,0,13,19.05,0,44
"13",1,0,14,8.22,0,44
"14",1,0.9,15,-0.75,40,44
"15",1,0.93,16,18.58,41,44
"16",1,0,17,11.58,0,44
"17",1,0,18,30.38,0,44
"18",1,1,19,-1.15,44,44
"19",1,0.9,20,-4.26,40,44
"20",1,0.03,21,12.09,1,44
"21",1,0.17,22,-4.4,7,44
"22",1,0.93,23,2.42,41,44
"23",1,0.93,24,17.14,41,44
"24",1,0,25,-10.03,0,44
"25",1,0,26,-0.06,0,44
"26",1,0.97,27,9.57,43,44
"27",1,0.27,28,4.76,12,44
"28",1,0.9,29,-2.83,40,44
"29",1,0.9,29,-2.83,40,44
"30",1,0,30,0.28,0,44
"31",1,0.77,31,1.13,34,44
"32",1,0.8,32,-3.25,35,44
"33",1,0,33,12.52,0,44
"34",1,0.3,34,3.82,13,44
"35",1,0.97,35,28.81,43,44
"36",1,0.77,36,8.82,34,44
"37",1,0,37,-12.66,0,44
"38",1,0,38,18.11,0,44
"39",1,0.97,39,7.47,43,44
"40",1,0.93,40,15.32,41,44
"41",1,0.07,41,13.7,3,44
"42",1,0.13,42,10.75,6,44
"43",1,0.93,43,-4.02,41,44
"44",1,0.9,44,12.52,40,44
"45",1,0.17,45,11.74,7,44
"46",1,0.2,46,19.77,9,44
"47",1,1,47,20.18,44,44
"48",1,0.87,48,13.78,38,44
"49",1,0.5,49,15.76,22,44
"50",1,0.03,50,2.16,1,44
"51",1,0.9,51,-14.32,40,44
"52",1,0.87,52,-1.12,38,44
"53",1,0.07,53,-2.04,3,44
"54",1,0.3,54,6.88,13,44
"55",1,0.93,55,9,41,44
"56",1,0.93,56,2.56,41,44
"57",1,0,57,3.8,0,44
"58",1,0,58,10.62,0,44
"59",1,0.73,59,-26.88,32,44
"60",1,0.9,60,-3.74,40,44
"61",1,0,61,3.55,0,44
"62",1,0,62,15.16,0,44
"63",1,0.83,63,-6.38,37,44
"64",1,0.5,64,10.02,22,44
"65",1,0.07,65,9.07,3,44
"66",1,0.07,66,10.85,3,44
"67",1,0.87,67,-3.42,38,44
"68",1,0.27,68,2.02,12,44
"69",1,0,69,-7.02,0,44
"70",1,0.03,70,2.2,1,44
"71",1,0.9,71,-25.35,40,44
"72",1,0.9,72,-3.61,40,44
"73",1,0.07,73,10.85,3,44
"74",1,0,74,2.84,0,44
