"","subj","trial","load","p_size"
"1",701,1,2,1021.40856592878
"2",701,2,1,951.434879571811
"3",701,3,5,1063.95694716243
"4",701,4,4,913.487076648841
"5",701,5,0,602.686849574267
"6",701,6,3,826.219892952721
"7",701,7,0,463.802123552124
"8",701,8,4,757.552092609083
"9",701,9,2,732.942940038685
"10",701,10,3,590.649107142857
"11",701,11,5,878.738201246661
"12",701,12,1,851.180078508341
"13",701,13,4,772.236185383244
"14",701,14,3,829.34858490566
"15",701,15,0,455.479036574487
"16",701,16,1,587.802694898941
"17",701,17,2,713.050311665183
"18",701,18,5,708.441658630665
"19",701,19,1,707.664230019493
"20",701,20,5,787.369875222816
"21",701,21,2,566.930762081784
"22",701,22,3,722.141711229947
"23",701,23,0,540.061157796452
"24",701,24,4,666.924688057041
"25",701,25,2,698.234741784038
"26",701,26,1,652.669794459339
"27",701,27,3,575.608288770053
"28",701,28,0,626.432709447415
"29",701,29,5,572.862622658341
"30",701,30,4,726.16212406015
"31",701,31,5,751.825757575758
"32",701,32,1,727.185548617306
"33",701,33,2,624.94375
"34",701,34,3,682.806647940075
"35",701,35,4,687.13535173642
"36",701,36,0,635.536128456735
"37",701,37,3,613.606299212598
"38",701,38,4,654.627450980392
"39",701,39,1,556.506910167818
"40",701,40,2,645.214603739982
"41",701,41,0,600.524079320113
"42",702,1,1,1609.60355029586
"43",702,2,4,1654.04241071429
"44",702,3,5,1681.06010685663
"45",702,4,0,1407.70187165775
"46",702,5,2,1604.51919642857
"47",702,6,3,1582.78616071429
"48",702,7,5,1650.24577777778
"49",702,8,0,1497.30428954424
"50",702,9,2,1616.74504249292
"51",702,10,3,1702.26203208556
"52",702,11,4,1609.51231060606
"53",702,12,1,1659.01919642857
"54",702,14,1,1625.16100872939
"55",702,15,0,1493.16562220233
"56",702,16,4,1600.29010695187
"57",702,17,3,1648.68092691622
"58",702,18,2,1725.6197519084
"59",702,19,0,1619.92782026769
"60",702,20,2,1616.19481680071
"61",702,21,3,1700.63506876228
"62",702,22,4,1667.88103756708
"63",702,23,1,1641.67736185383
"64",702,24,5,1630.63514719001
"65",702,25,3,1657.23327386262
"66",702,26,1,1721.32877358491
"67",702,27,5,1691.90142729706
"68",702,28,2,1614.02408563782
"69",702,29,0,1101.00711111111
"70",702,30,4,1716.82008928571
"71",702,31,1,1699.28947368421
"72",702,32,0,1372.44870651204
"73",702,33,3,1611.64719000892
"74",702,34,4,1699.43482142857
"75",702,35,2,1700.11106155219
"76",702,36,5,1711.54055258467
"77",702,37,0,1373.56082375479
"78",702,38,5,1549.20625
"79",702,39,4,1644.72739480752
"80",702,40,2,1560.62199465717
"81",702,41,1,1584.44112060779
"82",702,42,3,1571.70931326435
"83",702,43,4,1546.36997319035
"84",702,44,1,1559.234375
"85",702,45,0,1540.74339622642
"86",702,46,3,1517.40929401251
"87",702,47,5,1548.873885918
"88",702,48,2,1507.57442067736
"89",702,49,4,1533.52228163993
"90",702,50,2,1530.35606060606
"91",702,51,0,1317.19856887299
"92",702,52,1,1586.24830917874
