"","subj","set_size","correct","trial","session","block","tested"
"1","10",4,1,1,1,1,2
"2","10",8,0,4,1,1,8
"3","10",2,1,9,1,1,2
"4","10",6,1,23,1,1,2
"5","10",4,1,5,1,2,3
"6","10",8,0,7,1,2,5
"7","10",6,1,10,1,2,3
"8","10",2,1,19,1,2,1
"9","10",2,1,9,1,3,2
"10","10",6,0,16,1,3,5
"11","10",8,0,23,1,3,1
"12","10",4,1,26,1,3,4
"13","10",2,1,1,1,4,1
"14","10",8,1,2,1,4,2
"15","10",4,1,14,1,4,1
"16","10",6,1,28,1,4,1
"17","10",6,1,6,1,5,4
"18","10",8,1,11,1,5,6
"19","10",4,1,17,1,5,2
"20","10",2,1,28,1,5,1
"21","10",8,1,2,1,6,7
"22","10",6,1,8,1,6,6
"23","10",2,1,27,1,6,2
"24","10",4,1,28,1,6,1
"25","10",8,0,6,1,7,4
"26","10",6,1,10,1,7,2
"27","10",2,1,11,1,7,2
"28","10",4,1,27,1,7,3
"29","10",8,0,9,2,1,2
"30","10",6,1,21,2,1,3
"31","10",2,1,22,2,1,2
"32","10",4,0,28,2,1,4
"33","10",2,1,7,2,2,1
"34","10",4,1,15,2,2,2
"35","10",6,1,20,2,2,4
"36","10",8,0,23,2,2,4
"37","10",8,1,12,2,3,8
"38","10",2,1,17,2,3,1
"39","10",4,1,24,2,3,3
"40","10",6,1,25,2,3,6
"41","10",8,1,1,2,4,6
"42","10",6,1,8,2,4,1
"43","10",2,1,10,2,4,2
"44","10",4,1,18,2,4,1
"45","10",6,1,3,2,5,5
"46","10",4,1,10,2,5,1
"47","10",2,1,14,2,5,2
"48","10",8,1,24,2,5,1
"49","10",8,1,1,2,6,5
"50","10",6,1,3,2,6,2
"51","10",2,1,5,2,6,1
"52","10",4,1,19,2,6,2
"53","10",2,1,5,2,7,2
"54","10",4,1,7,2,7,3
"55","10",8,1,21,2,7,7
"56","10",6,1,23,2,7,1
"57","10",6,1,8,2,8,6
"58","10",2,1,9,2,8,1
"59","10",4,1,16,2,8,4
"60","10",8,1,18,2,8,3
"61","10",4,1,7,3,1,3
"62","10",6,0,14,3,1,2
"63","10",8,0,17,3,1,4
"64","10",2,1,22,3,1,1
"65","10",8,1,5,3,2,7
"66","10",2,1,7,3,2,2
"67","10",6,1,9,3,2,4
"68","10",4,1,17,3,2,1
"69","10",2,1,3,3,3,1
"70","10",4,1,15,3,3,4
"71","10",8,0,17,3,3,1
"72","10",6,1,26,3,3,1
"73","10",8,1,1,3,4,6
"74","10",2,1,3,3,4,2
"75","10",4,1,8,3,4,2
"76","10",6,1,19,3,4,3
"77","10",6,1,1,3,5,6
"78","10",8,1,15,3,5,2
"79","10",4,1,17,3,5,1
"80","10",2,1,19,3,5,1
"81","10",6,1,5,3,6,5
"82","10",8,0,13,3,6,5
"83","10",4,1,15,3,6,2
"84","10",2,1,25,3,6,2
"85","10",4,1,1,3,7,3
"86","10",2,1,6,3,7,2
"87","10",8,1,27,3,7,3
"88","10",6,1,28,3,7,1
"89","10",4,1,6,3,8,4
"90","10",8,1,18,3,8,8
"91","10",6,1,20,3,8,5
"92","10",2,1,23,3,8,1
