"","subj","trial","condition","RT"
"1",1,0,"Congruent",1484
"2",1,1,"Incongruent",1316
"3",1,2,"Incongruent",628
"4",1,3,"Congruent",511
"5",1,4,"Congruent",509
"6",1,5,"Incongruent",903
"7",1,6,"Incongruent",759
"8",1,7,"Incongruent",1133
"9",1,8,"Incongruent",678
"10",1,9,"Incongruent",785
"11",1,10,"Incongruent",899
"12",1,11,"Congruent",603
"13",1,12,"Incongruent",961
"14",1,13,"Congruent",1098
"15",1,14,"Incongruent",666
"16",1,15,"Incongruent",885
"17",1,16,"Incongruent",487
"18",1,17,"Incongruent",525
"19",1,18,"Congruent",660
"20",1,19,"Incongruent",833
"21",1,20,"Congruent",609
"22",1,21,"Congruent",532
"23",1,22,"Incongruent",672
"24",1,23,"Incongruent",806
"25",1,24,"Incongruent",770
"26",1,25,"Congruent",634
"27",1,26,"Incongruent",906
"28",1,27,"Congruent",577
"29",1,28,"Incongruent",660
"30",1,29,"Congruent",573
"31",1,30,"Incongruent",992
"32",1,31,"Incongruent",555
"33",1,32,"Incongruent",727
"34",1,33,"Congruent",583
"35",1,34,"Incongruent",1177
"36",1,35,"Incongruent",903
"37",1,36,"Incongruent",773
"38",1,37,"Congruent",413
"39",1,38,"Incongruent",863
"40",1,39,"Incongruent",738
"41",1,40,"Incongruent",567
"42",1,41,"Incongruent",922
"43",1,42,"Incongruent",660
"44",1,43,"Congruent",592
"45",1,44,"Incongruent",593
"46",1,45,"Congruent",743
"47",1,46,"Incongruent",420
"48",1,47,"Congruent",547
"49",1,48,"Incongruent",483
"50",1,49,"Incongruent",787
"51",1,50,"Incongruent",881
"52",1,51,"Congruent",650
"53",1,52,"Incongruent",1092
"54",1,53,"Incongruent",620
"55",1,54,"Congruent",995
"56",1,55,"Incongruent",583
"57",1,56,"Congruent",609
"58",1,57,"Congruent",414
"59",1,58,"Incongruent",965
"60",1,59,"Incongruent",722
"61",1,60,"Incongruent",762
"62",1,61,"Congruent",645
"63",1,62,"Incongruent",873
"64",11,0,"Congruent",1147
"65",11,1,"Incongruent",535
"66",11,2,"Incongruent",571
"67",11,3,"Congruent",514
"68",11,4,"Congruent",451
"69",11,5,"Incongruent",1018
"70",11,6,"Incongruent",433
"71",11,7,"Incongruent",444
"72",11,8,"Incongruent",517
"73",11,9,"Incongruent",482
"74",11,10,"Congruent",484
"75",11,11,"Incongruent",524
"76",11,12,"Congruent",553
"77",11,13,"Incongruent",498
"78",11,14,"Incongruent",651
"79",11,15,"Incongruent",529
"80",11,16,"Congruent",387
"81",11,18,"Incongruent",576
"82",11,19,"Incongruent",701
"83",11,20,"Incongruent",588
"84",11,21,"Incongruent",635
"85",11,22,"Incongruent",541
"86",11,23,"Congruent",616
"87",11,24,"Incongruent",439
"88",11,25,"Congruent",375
"89",11,26,"Incongruent",377
"90",11,27,"Congruent",374
"91",11,28,"Incongruent",482
"92",11,29,"Incongruent",362
"93",11,30,"Congruent",345
"94",11,31,"Incongruent",349
"95",11,32,"Incongruent",365
"96",11,33,"Incongruent",642
"97",11,34,"Congruent",663
"98",11,35,"Congruent",548
"99",11,36,"Congruent",503
"100",11,37,"Incongruent",473
"101",11,38,"Incongruent",487
"102",11,39,"Congruent",674
"103",11,40,"Incongruent",656
"104",11,41,"Incongruent",502
"105",11,42,"Incongruent",641
"106",11,43,"Incongruent",634
"107",11,44,"Incongruent",624
"108",11,45,"Congruent",539
"109",11,46,"Incongruent",726
"110",11,47,"Congruent",563
"111",11,48,"Incongruent",575
"112",11,49,"Congruent",616
"113",11,50,"Incongruent",448
"114",11,51,"Incongruent",365
"115",11,52,"Incongruent",469
"116",11,53,"Congruent",397
"117",11,54,"Incongruent",444
"118",11,55,"Congruent",451
"119",11,56,"Incongruent",427
"120",11,57,"Incongruent",515
"121",11,58,"Incongruent",651
"122",11,61,"Congruent",749
"123",11,62,"Incongruent",727
"124",15,0,"Congruent",1663
"125",15,1,"Congruent",702
